R2,MAE,MAPE,RMSE,MaxError,Model,Stage,CV_Best_RMSE,BestParams,generated_at
0.8977329505008156,0.34131907826660074,0.032475075309582796,0.44386932675383123,1.6276268087172596,GradientBoosting_Tuned,Tuned,0.4466374734903071,"{'model__subsample': 0.8, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.05}",2026-02-18 13:09:14
0.8976827237627821,0.34156070440059244,0.032493669471636476,0.4439783128438437,1.6300749166446433,GradientBoosting,Baseline,,,2026-02-18 13:09:14
0.8971944765508088,0.34260132443439667,0.032608100952261805,0.4450363608797605,1.6400041941017243,Ridge_Tuned,Tuned,0.448114478854547,{'model__alpha': 0.01},2026-02-18 13:09:14
0.8971938604423582,0.3426013848564287,0.03260810211603093,0.44503769441828434,1.6397611529859102,LinearRegression,Baseline,,,2026-02-18 13:09:14
0.8971838713318189,0.3426255899205811,0.03260972091408233,0.4450593148329846,1.6442952622753122,Ridge,Baseline,,,2026-02-18 13:09:14
0.897009773358858,0.3435708502994723,0.032687124281937104,0.4454359636746151,1.6495982409026873,Lasso_Tuned,Tuned,0.4482103876445604,{'model__alpha': 0.0005},2026-02-18 13:09:14
0.8968687458697848,0.3424359295101641,0.03257267256496419,0.445740833502506,1.7234747585601546,RandomForest_Tuned,Tuned,0.44923268133792044,"{'model__n_estimators': 100, 'model__min_samples_split': 2, 'model__min_samples_leaf': 4, 'model__max_depth': 10}",2026-02-18 13:09:14
0.8920226560784446,0.33556248921688536,0.0322678901846648,0.4560931938736095,1.7669274641273418,HuberRegressor,Baseline,,,2026-02-18 13:09:14
0.8908662300785597,0.3505523121789249,0.033293503226976925,0.4585290443920066,1.8326295951994798,RandomForest,Baseline,,,2026-02-18 13:09:14
0.7876015945539105,0.46072083947991305,0.04371468487569846,0.6396801839438734,2.2773501491824817,DecisionTree,Baseline,,,2026-02-18 13:09:14
-5.384782678641287e-06,1.2233109313563457,0.12302568905171288,1.3879967224704215,2.863901536819034,Lasso,Baseline,,,2026-02-18 13:09:14
